"","HYPO_dorsal","HYPO_dorsal2","HYPO_ventral","HYPO_ventral2","THAL_latHabenula","THAL_lateral","THAL_lateral2","THAL_medHabenula","THAL_medial","THAL_venmedial","WM_dorsal","WM_ventral","PIA_dorsal","VENTRICLE","HPC","HPC_CA1","HPC_CA2/3","HPC_DG","STR","AMY_basomedial","AMY_posterior","PirCTX_L1","PirCTX_L2/3","CTX_ L5","CTX_L1","CTX_L2/3","CTX_L4","CTX_L5","CTX_L6","CTX_L6b"
"Endo",0.296488032530136,0.251783536269595,0.324141977130735,0.38743114746681,0.122790767565165,0.21353100459237,0.338757130842242,0.728915496685418,0.422440449738628,0.163206829392202,0.508723545607354,0.32318646335487,0.670989511206103,1,0.388054826062055,0.334979203760884,0.446231899805917,0.422676327449493,0.389693235969062,0.341961427621296,0.383872171696204,0.163445603681227,0.288288169707705,0.327494900446515,0.147797145752964,0.397851876990781,0.453611345122256,0.369729925799249,0.410144748651908,0.387292550309813
"Unk_2",0.575996695677556,0.200060449020076,0.524570975856669,0.426799885871629,0.37439795656196,0.0859344504995008,0.137459354969157,1,0.324103086592624,0.179886853325852,0.236756862968876,0.19978063199923,0.564440885449608,0.613882351099408,0.276859172639359,0.395774865646659,0.65020907453843,0.491102191724822,0.190765097068822,0.3594635803414,0.568233188252624,0.307492411592147,0.427843503187836,0.177356657567079,0.124780061422376,0.247460117707338,0.216582815584356,0.347451120214646,0.28403008755618,0.414024254479973
"Micro",0.230997111222398,0.319673402323202,0.360668223340889,0.184187161929827,0.118128218305388,0.275046536188972,0.344326210408718,0.548418520996951,0.313902036769227,0.269769183437751,1,0.584250889706337,0.567869617683958,0.742169773159674,0.593358786732121,0.524342754603738,0.53662929407359,0.55709555581286,0.714955423306421,0.659013914394347,0.467330870844184,0.366558174514916,0.518189922554963,0.365684397035958,0.212975365641081,0.577792399401148,0.517633169475097,0.530570116154811,0.542355066230751,0.635244122136063
"OPC_1",0.446637009482003,0.281021333180458,0.688363791464963,0.238431663946467,0.203509431211979,0.27343891410773,0.304277536968319,0.563939246696849,0.593739877607385,0.295615355676569,0.64108268866745,0.472810101127222,0.306623408132032,0.34727860806185,0.379043069156718,0.498414144982067,0.533799692154626,0.487255390874521,0.477698796912032,0.928671864294253,1,0.44408898038219,0.817882139631717,0.226414459869864,0.164402881651372,0.416052396838796,0.237180680724129,0.4463559112414,0.387919048010378,0.563338462618286
"Astro_STR",0.078301189803175,0.0788977678806693,0.219822199628359,0.0722970433787481,0.0482354875680126,0.064045911489956,0.114080335069492,0.102457802028095,0.142671023932879,0.0604907876352387,0.238968458416377,0.218152791934812,0.170158088711144,0.161475251335136,0.75434265134748,0.771400988764169,1,0.695259285792222,0.845915846960376,0.481060626267512,0.420686796811752,0.257347682460721,0.378301523503108,0.342658271224769,0.188575497363239,0.439974274849379,0.412906982346319,0.509377401501896,0.587153577564989,0.63839761803736
"Inh_Lamp5",0.0770021577252069,0.0616530557148124,0.199994336695467,0.0366055978839904,0.0532683387011492,0.0311655874279215,0.0836768028635312,0.0569506229129596,0.0473207688305994,0.04484747415952,0.0929937622470217,0.106179210476082,0.186349488664342,0.0685413225157404,0.590883345075031,0.732576954144861,0.699852253700984,1,0.177168878439349,0.506927391636745,0.796625925820825,0.375502173949524,0.645954855984494,0.230196947156078,0.304094623541155,0.699635441244249,0.422974392689198,0.447098000547308,0.444247389106272,0.57309785895623
"Inh_Vip",0.126647763749216,0.0587870218332348,0.18818768942718,0.0436037411742582,0.0301852361754903,0.0332597657465046,0.0491162046998455,0.0599688157597219,0.0567512620052524,0.0469465221532379,0.0593084103809453,0.0525957089174845,0.0695010975450411,0.0496618507443099,0.503247057184436,0.421076487454594,0.652782628524708,0.709344491420538,0.0731888976262639,0.869466942516459,1,0.282154378974018,0.866004326005254,0.164561927460462,0.175403309966243,0.704276683621697,0.31772004967301,0.389115921803251,0.322571051483562,0.540777465260666
"Astro_AMY",0.0587440090728206,0.0588863342536319,0.368251915346049,0.0476054536398312,0.0354024409055535,0.0623755412630117,0.0767875179309716,0.0705895199307359,0.105489078189686,0.0650580593121099,0.0589705854129164,0.0640445530419609,0.11601807371087,0.0857514155701933,0.174393796256058,0.267151881032986,0.397840205123994,0.254447802669006,0.236073209032241,0.628608938585862,1,0.309164480969457,0.437047616379459,0.129048722982587,0.121267201763541,0.218311750340669,0.171190345805319,0.254499804793318,0.19110383330725,0.254185659071538
"Astro_AMY_CTX",0.0352647718982542,0.038685864201395,0.303646530135226,0.0280669222775342,0.0252373158605302,0.0460230546759178,0.0526836435080069,0.0530008396425617,0.0845967270565381,0.0435866930314779,0.0471637595777818,0.0507662318122694,0.242473686099311,0.0633196973783534,0.289030029777043,0.531981534499891,0.631216625078272,0.460244522263853,0.384897605916761,1,0.84303265461632,0.654845631460853,0.931210706499009,0.126596689352625,0.191550693825776,0.441210814306254,0.173690593438908,0.465808527466559,0.26979552190174,0.500352122424269
"Inh_Sst",0.0538149117654955,0.0423263838356463,0.263475884550007,0.0237278523521626,0.0196077781920788,0.0185002602420993,0.040854131244115,0.0316825112316774,0.0355592599891715,0.0236526495190445,0.0512603422502909,0.105619826613485,0.0813546683677073,0.0383841846661791,0.223337839491432,0.329969980790947,0.579260073524409,0.224705862592481,0.128766077168594,0.756101649485302,1,0.48274936235712,0.651707275262874,0.286654152420522,0.0539567723235877,0.229030253113315,0.219918867208281,0.816732296919209,0.414585799462815,0.685951993186524
"Ext_L5_2",0.00449490751495818,0.0100932881158202,0.00680413854960955,0.00310567260529614,0.00419290920795856,0.0149649931157108,0.0113305598143824,0.00600676242122592,0.00748063061921228,0.00929478537387968,0.0128607766374531,0.0136536366963977,0.0146838313227637,0.0583811184152908,0.0151318879390527,0.0301076664564989,0.024339744489253,0.0232641253700259,0.0179238914075848,0.0582994276074883,0.0104608277082548,0.0245135822597099,0.0238876643551846,1,0.0206165147517093,0.0511166276175713,0.155926525245611,0.898031527920619,0.109704892185678,0.0204047282596611
"LowQ_2",0.0403730840192473,0.0342910541700626,0.0439471099643067,0.0237398928338245,0.0167573827687833,0.0347266699421713,0.0398089551919719,0.034713348041322,0.0733652237382421,0.0377510595786105,0.0292150198355292,0.0382502685039435,0.027039333547066,0.034140958336561,0.0490217966590023,0.112135513086935,0.195634312066733,0.0752235296623189,0.0578953658818107,0.1225555419906,0.063553650137276,0.0545049122547273,0.116771333677685,1,0.0372993444749459,0.115607583616474,0.266695352123552,0.829259673719892,0.315914265805149,0.169222836794568
"Inh_Pvalb",0.0101942791317987,0.0585989208091872,0.0126161786750577,0.00841920083174383,0.00582457704100744,0.0140684041676185,0.102833343103731,0.00759745841220434,0.0108077180896229,0.00807334954829766,0.00816542842045753,0.0160553884255734,0.0416842014875936,0.0783731045272128,0.0951976950788651,0.475478856805903,0.320370580255614,0.289518293508711,0.0994773528443722,0.0930734243109587,0.106886337000849,0.0476638901657684,0.130255465273363,1,0.0575493015694262,0.350422553403404,0.842204104379619,0.621693522488836,0.657285709169666,0.0852854807386716
"Astro_CTX",0.0146262219936148,0.0231880809462396,0.0263265414119501,0.0166685306638564,0.0124493475320912,0.0208534195682497,0.0290600774276852,0.0170014847169643,0.0299462168555686,0.0183547605078691,0.0202514786661414,0.032637421236666,0.0784216448453365,0.029123086738196,0.11827602087234,0.157347590568684,0.131811077264737,0.218756748095544,0.293270529684022,0.0763298448688466,0.0607970083842689,0.0560378662870625,0.0808739040531697,0.623736844305944,0.187168790826059,0.591265971186877,1,0.435945720308086,0.509337450942012,0.101938766803943
"Ext_Med",0.0154415714427641,0.0189624847293117,0.0175991797666849,0.0110811090208966,0.00948827359696894,0.032546440960171,0.0176316711552904,0.0143149830697009,0.0276111351874882,0.0193425877927656,0.0127047400575149,0.0172752594122664,0.0308779548806764,0.0179078864037489,0.0272159379303893,0.0780224983118967,0.0776818577340018,0.0537187050821492,0.0364028451074738,0.0381455823521931,0.0212926951196947,0.0236782068334616,0.0557724392045199,1,0.114819536826662,0.528854371967784,0.595792955758135,0.418220227542406,0.403190978545414,0.0527351805883655
"Ext_L25",0.00164317279870673,0.0025754646983531,0.00264384293057103,0.00147379317548903,0.00175727742493938,0.00346124961291326,0.00385743664530351,0.00274599356609735,0.0040917928842175,0.00287870311376923,0.00321013023875302,0.0061547175888379,0.0248726956317074,0.00538073938697391,0.0119149817723375,0.0212074724277857,0.00984533933863639,0.0273142891218178,0.0284717200202871,0.0122722004489252,0.00273157849422097,0.00855561997627367,0.0144409062753235,0.213571340678696,0.061384381234362,0.326220625138736,1,0.147868348019491,0.180066513418335,0.011628638706161
"Ext_L5_1",0.00260175771278469,0.00272145000513533,0.00476011867303204,0.00160332633466489,0.00168673604039907,0.00562981798883427,0.00356874762428271,0.00354410352781967,0.00579287519529142,0.0052484314443137,0.00372139053359811,0.00436469307183871,0.0178014114586457,0.00451884497607902,0.0099158185766039,0.0242653210731505,0.0260245819695935,0.0203394390779196,0.0174218319879241,0.121324199997127,0.0075045745928381,0.0601926154047122,0.0951905357054923,0.336751891333089,0.033008027077679,0.11786429767513,0.909180113677784,1,0.143770663112744,0.0329860473324031
"Astro_THAL_lat",0.122781594136654,0.727342309706369,0.0316102563126192,0.453674893833473,0.110940645523126,1,0.822251015638615,0.0754641629124925,0.627033706200427,0.491870821530922,0.0571793615181684,0.128116335330088,0.0368829606752999,0.0552754276092203,0.0831443014810213,0.0466235554837546,0.0955324265694461,0.0908807074150801,0.0459505961732778,0.0315861961756907,0.0475401277287115,0.0190300786939393,0.0293189401605779,0.118044152552684,0.017930816281341,0.043581097708172,0.114872951211908,0.0586987394381427,0.0630044278974374,0.0344159578324884
"Astro_THAL_med",0.181842386602625,0.379912331855528,0.0914664856817431,0.379734444752156,0.126573934734105,0.74726855098924,0.42129017886673,0.140232660032105,1,0.740580261114209,0.102814473328964,0.130259031738214,0.0620193847459952,0.0995998926570853,0.0885844965183798,0.0806388127595922,0.139289014822255,0.113629477709784,0.0702480642808868,0.077452411665788,0.108415916822116,0.0393921412556983,0.0700949321577517,0.110716084051525,0.0272516736923133,0.0722793798234711,0.132779771820023,0.0932015631225583,0.0974226658184666,0.0761125498563694
"Astro_HYPO",0.887927229227374,0.378462914780764,0.488552020162348,1,0.267875806681966,0.108681953487711,0.164957839466069,0.278064670543442,0.629694191859996,0.417353031351471,0.0533239201933177,0.076726418185015,0.112363132581526,0.182435741050905,0.0303459539793448,0.0238941226324294,0.038334709753567,0.0408707531551283,0.0335051015835245,0.0486648730145065,0.157516378309364,0.0271762078696766,0.0335237462512204,0.0265148328469035,0.0107318743134523,0.0179056681860663,0.0282528732951129,0.0259504020205787,0.024874075716583,0.0313564477349764
"Inh_3",1,0.156088808637591,0.331695815288293,0.144010912745886,0.0712516255209194,0.0200772973589712,0.0649197095756726,0.113309927176823,0.564249467446719,0.052496998332757,0.0328400464686405,0.0299905797018388,0.0271265026905467,0.0602004426470203,0.029632395255918,0.113534636575065,0.200206285692568,0.0788262665814383,0.0401387602929888,0.135145521969946,0.21134176636997,0.0472533226334982,0.126446089292133,0.039022155522554,0.0148058560971141,0.0520660252612812,0.0400695459969526,0.120250488109961,0.0673513638052384,0.134834530071726
"Inh_4",1,0.153668434209091,0.573015713006111,0.25945654405961,0.166773251144202,0.00386238278726319,0.0360092116958142,0.229776537113296,0.325510203077922,0.131759105235472,0.0220605748701265,0.0204050777289205,0.0399871632873382,0.087403037124433,0.00645639162100251,0.0106902916059238,0.0142263370518512,0.020344631609386,0.0180566838291506,0.0491304824988496,0.103277107481876,0.0185068055937076,0.028374125326093,0.004817604832156,0.00323859407806955,0.00547221526778362,0.00576221479318361,0.0170443178379498,0.00766218287881069,0.0382405248943591
"Astro_WM",0.053042304399529,0.0668366671243679,0.159569911505222,0.035846156459384,0.120436809606324,0.0239093480236562,0.160867019254615,0.753725309968636,0.0612114923223316,0.0286982372736701,0.670438984223633,0.427984898196374,0.428011764567997,1,0.247171766195933,0.0793133912556834,0.106166467810031,0.201147723188004,0.269809511158009,0.105057665982065,0.200721788888047,0.078535080689233,0.0486615069770196,0.0270071053252774,0.0459225722587745,0.0279197255041178,0.0225862717257567,0.037124525904834,0.0804224946866646,0.182565273467643
"LowQ_1",0.00224359201651887,0.00230618810285607,0.00231181968576274,0.0010726546748811,0.00392788458365454,0.00149710774571107,0.00397152231678618,0.0324006959272007,0.00167147544359009,0.00097068075004015,0.0304823189190722,0.00865646471675236,0.104722633529248,1,0.00310646552565223,0.00294304697983883,0.00329447978611992,0.00341132285917912,0.00922168750029755,0.0129944055771566,0.0168643139207297,0.00376988387066759,0.00488890792247519,0.0021025942472262,0.00340252759173744,0.00202226423430227,0.00203902792319518,0.00239307998229932,0.00381167940933364,0.00500568590145642
"Astro_HPC",0.0375626631294182,0.0457041525606807,0.0593003420561177,0.0330899109262096,0.0342809931474253,0.0500068876441135,0.100875423327234,0.0647191737661891,0.083278410721183,0.0437760923633294,0.119891124348713,0.112782803754609,0.207182637712965,0.0814597536925742,1,0.230533965635495,0.280951994245894,0.460288872238238,0.283169436902846,0.120899681921706,0.131956961173298,0.0946844097137613,0.114551019647114,0.143050067106724,0.146896866364435,0.15590424213919,0.173750038534107,0.151432187971623,0.18153364222276,0.175884666394887
"Nb_2",0.0859950832948074,0.0353017007107984,0.222248229332783,0.0842164724457928,0.0620953494378438,0.00865045269374845,0.0420164864790974,0.308513600603042,0.0619552130728807,0.0228742863454315,0.216079880604448,0.22761755632476,0.16919183425667,0.531780501429687,0.117185750960395,0.205279542967919,0.206850521633935,1,0.141338733835409,0.215869731885797,0.356790752425049,0.0912962924738766,0.157158681808303,0.0270008668631718,0.0318640447008303,0.0778727653048718,0.0257537727495877,0.0964888189472471,0.095022885777879,0.182333864547471
"Nb_1",0.0508610545011505,0.0155362078355657,0.0948083827893765,0.0282724767485503,0.0180076890450558,0.00833525365183916,0.0132947361162448,0.0747565851634157,0.0346595931758225,0.0197332453868104,0.0413466143206736,0.0382317147384484,0.0337356909750089,0.0427489829654112,0.081606152492406,0.153166922805095,0.236453560281632,1,0.0433395929609372,0.175123045130354,0.2480856008652,0.0733766202185178,0.155327705733994,0.0249874981078693,0.0184613745662842,0.0696453900307704,0.0345697586281951,0.106100602129924,0.0762036185302604,0.153301076029664
"Ext_Hpc_DG1",0.000833076911944301,0.000678522916154137,0.00234231782406833,0.000565332878488593,0.0023116226887995,0.000978392224035968,0.000751518807016352,0.00892324935482272,0.00110787669708945,0.00202771061124434,0.000834468594556469,0.00179603287139438,0.00476361413462773,0.00198022542417845,0.0543404003977481,0.0206156351516508,0.0247503389102245,1,0.00222314226814907,0.00576944008367164,0.00987589003335169,0.0039314003993159,0.0131675065176088,0.00201644374587204,0.00191214072332048,0.00563775926661261,0.00269353689275145,0.00394413234886602,0.0037485407942014,0.0040015268571475
"Ext_Hpc_DG2",0.0010615503631211,0.000868022083379225,0.00399884065108465,0.000713147773082844,0.000893137254431637,0.00103076832010615,0.000959342622548596,0.00298714854735626,0.00137973586158153,0.00143285112874218,0.00103661763083587,0.00166332690490265,0.00334912089233662,0.00234029840713388,0.0590038562306209,0.024615700520629,0.0511149044083529,1,0.00292895087056026,0.00878191318452881,0.0120690582418207,0.00458753030791584,0.0157927139241604,0.00237645207582346,0.0020575963781553,0.00774184799442086,0.00316990727353881,0.00614056622280982,0.00556417730073257,0.00666848756880291
